
STATUS | wrapper  | 2017/02/07 17:49:35 | Launching a JVM...
INFO   | wrapper  | 2017/02/07 17:49:35 | Java Command Line:
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[0] : /usr/lib/jvm/java-8-oracle/jre/bin/java
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[1] : -Djava.library.path=../lib
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[2] : -classpath
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[3] : ../lib/wrapper.jar:../lib/classes
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[4] : -Dwrapper.key=iVplMnBSHPOhxq3o
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[5] : -Dwrapper.port=32000
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[6] : -Dwrapper.jvm.port.min=31000
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[7] : -Dwrapper.jvm.port.max=31999
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[8] : -Dwrapper.pid=23383
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[9] : -Dwrapper.version=3.5.30
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[10] : -Dwrapper.native_library=wrapper
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[11] : -Dwrapper.arch=x86
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[12] : -Dwrapper.cpu.timeout=10
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[13] : -Dwrapper.jvmid=1
INFO   | wrapper  | 2017/02/07 17:49:35 |   Command[14] : com.mgarcia.NetworkShield
ERROR  | wrapper  | 2017/02/07 17:49:35 | JVM exited while loading the application.
INFO   | jvm 1    | 2017/02/07 17:49:35 | [main] INFO NetworkShield - Starting NetworkShield
INFO   | jvm 1    | 2017/02/07 17:49:35 | java.io.FileNotFoundException: ns.conf (No such file or directory)
INFO   | jvm 1    | 2017/02/07 17:49:35 | 	at java.io.FileInputStream.open0(Native Method)
INFO   | jvm 1    | 2017/02/07 17:49:35 | 	at java.io.FileInputStream.open(FileInputStream.java:195)
INFO   | jvm 1    | 2017/02/07 17:49:35 | 	at java.io.FileInputStream.<init>(FileInputStream.java:138)
INFO   | jvm 1    | 2017/02/07 17:49:35 | 	at java.io.FileInputStream.<init>(FileInputStream.java:93)
INFO   | jvm 1    | 2017/02/07 17:49:35 | 	at java.io.FileReader.<init>(FileReader.java:58)
INFO   | jvm 1    | 2017/02/07 17:49:35 | 	at com.mgarcia.NetworkShield.main(NetworkShield.java:43)
INFO   | jvm 1    | 2017/02/07 17:49:35 | [main] ERROR NetworkShield - ns.conf (No such file or directory)
STATUS | wrapper  | 2017/02/07 17:49:39 | Launching a JVM...
INFO   | wrapper  | 2017/02/07 17:49:39 | Java Command Line:
INFO   | wrapper  | 2017/02/07 17:49:39 |   Command[0] : /usr/lib/jvm/java-8-oracle/jre/bin/java
